pattern,count
Variational Quantum Eigensolver (VQE),60
Quantum Approximate Optimization Algorithm (QAOA),35
Quantum Phase Estimation (QPE),27
Amplitude Amplification,24
Variational Quantum Algorithm (VQA),23
Uncompute,11
Oracle,7
Grover,6
Initialization,1
