pattern,count
Basis Change,26
Circuit Construction Utility,20
Quantum Arithmetic,19
Data Encoding,16
Quantum Logical Operators,13
Initialization,7
Variational Quantum Algorithm (VQA),7
Oracle,4
Quantum Approximate Optimization Algorithm (QAOA),3
Grover,2
Hamiltonian Simulation,1
