project,count
classiq-library,309
Qualtran,63
amazon-braket-examples,41
Cirq,22
qiskit-machine-learning,19
Qrisp,18
amazon-braket-algorithm-library,14
qiskit-finance,13
catalyst,10
tensorcircuit,9
qiskit-algorithms,8
covalent,7
torchquantum,7
quimb,7
qibo,5
qiskit-nature,4
ProjectQ,4
guppylang,3
thewalrus,2
Perceval,2
qiskit-optimization,2
qiskit-addon-cutting,1
grove,1
ReCirq,1
OpenFermion,1
