pattern,count
Basis Change,23
Grover,12
Variational Quantum Algorithm (VQA),10
Quantum Neural Network (QNN),8
Dynamic Circuit,7
Data Encoding,6
Quantum Arithmetic,6
Domain Specific Application,5
Quantum Phase Estimation (QPE),2
Variational Quantum Eigensolver (VQE),2
Circuit Construction Utility,1
Phase Shift,1
