pattern,count
Basis Change,110
Quantum Phase Estimation (QPE),56
Domain Specific Application,50
Circuit Construction Utility,24
Amplitude Amplification,22
Initialization,20
Hamiltonian Simulation,17
Quantum Arithmetic,13
Data Encoding,11
Oracle,10
Grover,7
SWAP Test,7
Creating Entanglement,6
Linear Combination of Unitaries,6
Phase Shift,5
Variational Quantum Algorithm (VQA),2
Quantum Amplitude Estimation,1
Quantum Approximate Optimization Algorithm (QAOA),1
