file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line
qualtran/bloqs/reflections/reflection_using_prepare.py;/classiq/open_library.functions.grover.reflect_about_zero;Amplitude Amplification;name;reflection_around_zero;0.9078;227
qualtran/bloqs/rotations/programmable_rotation_gate_array.py;/pennylane/pennylane.templates.subroutines.qrom.QROM;Data Encoding;name;QROM;1.0000;181
qualtran/bloqs/state_preparation/prepare_uniform_superposition.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;140
qualtran/bloqs/state_preparation/state_preparation_alias_sampling.py;/pennylane/pennylane.templates.subroutines.qrom.QROM;Data Encoding;name;QROM;1.0000;239
qualtran/bloqs/state_preparation/state_preparation_via_rotation.py;/pennylane/pennylane.templates.subroutines.qrom.QROM;Data Encoding;name;QROM;1.0000;426
qualtran/cirq_interop/_bloq_to_cirq_test.py;/classiq/open_library.functions.swap_test.swap_test;SWAP Test;name;SwapTest;1.0000;110
qualtran/cirq_interop/_bloq_to_cirq_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;182
qualtran/cirq_interop/_bloq_to_cirq_test.py;/qiskit-algorithms/qiskit_algorithms.state_fidelities.compute_uncompute.ComputeUncompute;Uncompute;name;ComputeUncompute;1.0000;328
qualtran/cirq_interop/_cirq_to_bloq_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;87
qualtran/cirq_interop/t_complexity_protocol_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;141
qualtran/resource_counting/_bloq_counts_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;105
qualtran/resource_counting/classify_bloqs_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;98
qualtran/resource_counting/generalizers_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;43
qualtran/rotation_synthesis/protocols/_clifford_t_synthesis.py;/qiskit/qiskit.circuit.library.generalized_gates.diagonal.Diagonal;Circuit Construction Utility;name;Diagonal;1.0000;116
qualtran/surface_code/algorithm_summary_test.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;37
