file_path;pattern_sequence
Qualtran/qualtran/bloqs/state_preparation/state_preparation_via_rotation_tutorial.py;Data Encoding -> Circuit Construction Utility
Qualtran/qualtran/bloqs/arithmetic/controlled_addition.py;Quantum Arithmetic
Qualtran/qualtran/bloqs/arithmetic/t_complexity_of_comparison_gates.py;Quantum Logical Operators
Qualtran/qualtran/bloqs/arithmetic/addition.py;Quantum Arithmetic
Qualtran/qualtran/bloqs/arithmetic/permutation.py;Circuit Construction Utility
Qualtran/qualtran/bloqs/cryptography/rsa/factoring-via-modexp.py;Quantum Arithmetic
Qualtran/qualtran/bloqs/cryptography/rsa/rsa.py;Quantum Arithmetic
Qualtran/qualtran/bloqs/chemistry/trotter/grid_ham/trotter_costs.py;Quantum Logical Operators
Qualtran/tutorials/quantum-programming/1-wiring-up.py;Quantum Arithmetic
Qualtran/tutorials/quantum-programming/2-bloqs.py;Quantum Arithmetic
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;Dynamic Circuit -> Quantum Neural Network (QNN)
covalent/doc/source/tutorials/1_QuantumMachineLearning/pennylane_iris_classification/source.py;Initialization -> Circuit Construction Utility
covalent/doc/source/tutorials/1_QuantumMachineLearning/pennylane_parity_classifier/source.py;Initialization -> Variational Quantum Algorithm (VQA)
covalent/doc/source/tutorials/1_QuantumMachineLearning/pennylane_kernel/source.py;Data Encoding -> Variational Quantum Algorithm (VQA)
covalent/doc/source/tutorials/1_QuantumMachineLearning/pennylane_ensemble_classification/source.py;Circuit Construction Utility
qiskit-nature/docs/tutorials/04_excited_states_solvers.py;Variational Quantum Eigensolver (VQE)
qiskit-nature/docs/tutorials/12_deuteron_binding_energy.py;Variational Quantum Algorithm (VQA)
qiskit-nature/docs/tutorials/03_ground_state_solvers.py;Variational Quantum Eigensolver (VQE) -> Variational Quantum Algorithm (VQA)
amazon-braket-algorithm-library/notebooks/auxiliary_functions/Random_Circuit.py;Circuit Construction Utility
amazon-braket-algorithm-library/notebooks/advanced_algorithms/HHL_Algorithm.py;Quantum Phase Estimation (QPE) -> Domain Specific Application
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Fourier_Transform.py;Basis Change -> Quantum Phase Estimation (QPE)
amazon-braket-algorithm-library/notebooks/textbook/Grovers_Search.py;Grover
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Phase_Estimation_Algorithm.py;Quantum Phase Estimation (QPE) -> Domain Specific Application
ProjectQ/examples/spectral_measurement.py;Initialization -> Quantum Phase Estimation (QPE)
ProjectQ/examples/mapper_tutorial.py;Quantum Approximate Optimization Algorithm (QAOA)
OpenFermion/docs/fqe/tutorials/fermi_hubbard.py;Circuit Construction Utility
piquasso/docs/tutorials/gaussian-boson-sampling.py;Domain Specific Application
piquasso/docs/tutorials/boson-sampling.py;Domain Specific Application
Qrisp/documentation/source/general/tutorial/QMCItutorial.py;Domain Specific Application
Qrisp/documentation/source/general/tutorial/tutorial.py;Quantum Phase Estimation (QPE) -> Basis Change -> Amplitude Amplification -> Domain Specific Application
Qrisp/documentation/source/general/tutorial/Shor.py;Basis Change
Qrisp/documentation/source/general/tutorial/GQSP_filtering.py;Domain Specific Application -> Basis Change -> Grover
Qrisp/documentation/source/general/tutorial/FT_compilation.py;Basis Change
Qrisp/documentation/source/general/tutorial/TSP.py;Quantum Phase Estimation (QPE)
Qrisp/documentation/source/general/tutorial/HHL.py;Quantum Phase Estimation (QPE)
Qrisp/documentation/source/general/tutorial/Jasp.py;Quantum Arithmetic
Qrisp/documentation/source/general/tutorial/BigInteger.py;Basis Change
Qrisp/documentation/source/general/tutorial/BE_tutorial/BE_vol2.py;Data Encoding -> Domain Specific Application
Perceval/docs/source/notebooks/Graph_States_Tutorial.py;Circuit Construction Utility
Perceval/docs/source/notebooks/QLOQ_QUBO_tutorial.py;Variational Quantum Algorithm (VQA)
tensorcircuit/docs/source/tutorials/nnvqe_cn.py;Quantum Neural Network (QNN)
tensorcircuit/docs/source/tutorials/qaoa_nae3sat.py;Quantum Approximate Optimization Algorithm (QAOA)
tensorcircuit/docs/source/tutorials/nnvqe.py;Quantum Neural Network (QNN)
tensorcircuit/docs/source/tutorials/qaoa_bo.py;Quantum Approximate Optimization Algorithm (QAOA)
tensorcircuit/docs/source/tutorials/qaoa.py;Quantum Approximate Optimization Algorithm (QAOA)
tensorcircuit/docs/source/tutorials/mera.py;Quantum Neural Network (QNN)
tensorcircuit/docs/source/tutorials/mera_cn.py;Quantum Neural Network (QNN)
tensorcircuit/docs/source/tutorials/qml_scenarios.py;Quantum Approximate Optimization Algorithm (QAOA)
qibo/examples/circuit-draw-mpl/qibo-draw-circuit-matplotlib.py;Basis Change
qibo/examples/qfiae/qfiae_demo.py;Domain Specific Application
qibo/doc/source/code-examples/tutorials/qfiae/qfiae_demo.py;Domain Specific Application
ReCirq/docs/qaoa/binary_paintshop.py;Circuit Construction Utility
guppylang/examples/canonical-qpe.py;Quantum Phase Estimation (QPE) -> Domain Specific Application
guppylang/examples/adaptive-qpe.py;Quantum Phase Estimation (QPE) -> Domain Specific Application
qiskit-braket-provider/docs/tutorials/4_tutorial_native_programming.py;Circuit Construction Utility
qiskit-braket-provider/docs/tutorials/2_tutorial_hybrid_jobs.py;Variational Quantum Algorithm (VQA)
thewalrus/docs/gallery/hafnian_tutorial.py;Circuit Construction Utility
thewalrus/docs/gallery/permanent_tutorial.py;Circuit Construction Utility
classiq-library/community/basic_examples/superposition/superposition.py;Circuit Construction Utility -> Basis Change
classiq-library/community/basic_examples/logical_qubits/logical_qubits_by_alice_and_bob.py;SWAP Test
classiq-library/community/Hackathons/iQuHack_2025/Workshop/WS_iQuHack_2025_final.py;Basis Change
classiq-library/community/Hackathons/iQuHack_2025/Challenge/classiq_iQuHack_2025_final.py;Basis Change
classiq-library/community/Hackathons/iQuHack_2025/Challenge_solution/our_solution/classiq_iQuHack_2025_final_sol.py;Basis Change -> Amplitude Amplification
classiq-library/community/Hackathons/QInnovision_2025/advection_equation/advection_equation_2nd_place_submission.py;Basis Change
classiq-library/community/Hackathons/QInnovision_2025/advection_equation/advection_equation_winning_submission.py;Hamiltonian Simulation
classiq-library/community/paper_implementation_project/block_encoding/select_structures_BE.py;Circuit Construction Utility -> Domain Specific Application -> Data Encoding
classiq-library/community/paper_implementation_project/bpde/bpde.py;Hamiltonian Simulation -> Initialization
classiq-library/community/paper_implementation_project/explicit_quantum_circuits_for_block_encoding/quantum_walks_via_efficient_blockencoding.py;Basis Change -> Data Encoding
classiq-library/community/paper_implementation_project/classical_shadows/classical_shadows.py;Creating Entanglement
classiq-library/community/paper_implementation_project/quantum_state_preparation_without_coherent_arithmetic/stateprep_guassian_using_qsvt.py;Basis Change -> Domain Specific Application -> Amplitude Amplification
classiq-library/community/paper_implementation_project/quantum_compression_algorithm_for_symmetric_states/quantum_compression_algorithm_for_symmetric_states.py;Basis Change -> Circuit Construction Utility
classiq-library/community/paper_implementation_project/Block_encoding-ND_Laplacian/ND_Laplacian_BE.py;Circuit Construction Utility -> Data Encoding
classiq-library/applications/telecom/resiliency_planning/resiliency_planning_AMD.py;Circuit Construction Utility -> Basis Change
classiq-library/applications/telecom/resiliency_planning/resiliency_planning.py;Circuit Construction Utility -> Basis Change
classiq-library/applications/telecom/network_traffic_optimization/network_traffic_optimization.py;Circuit Construction Utility -> Basis Change
classiq-library/applications/plasma/vlasov_ampere/vlasov_ampere_qiskit.py;Phase Shift -> Initialization
classiq-library/applications/plasma/vlasov_ampere/vlasov_ampere.py;Circuit Construction Utility -> Domain Specific Application -> Basis Change -> Linear Combination of Unitaries
classiq-library/applications/physical_systems/quantum_chaos/quantum_sawtooth_map.py;Basis Change
classiq-library/applications/physical_systems/hhl_lanchester/hhl_lanchester.py;SWAP Test -> Quantum Phase Estimation (QPE)
classiq-library/applications/cybersecurity/whitebox_fuzzing/whitebox_fuzzing.py;Basis Change -> Amplitude Amplification
classiq-library/applications/optimization/variational_quantum_imaginary_time_evolution/variational_quantum_imaginary_time_evolution.py;Basis Change
classiq-library/applications/optimization/adapt_qaoa/adapt_qaoa.py;Hamiltonian Simulation -> Circuit Construction Utility -> Basis Change
classiq-library/applications/chemistry/molecule_eigensolver/molecule_eigensolver.py;Initialization -> Variational Quantum Algorithm (VQA)
classiq-library/applications/chemistry/classiq_chemistry_application/classiq_chemistry_application.py;Initialization -> Variational Quantum Eigensolver (VQE)
classiq-library/applications/chemistry/tensor_hypercontraction/tensor_hypercontraction.py;Circuit Construction Utility -> Basis Change -> Dynamic Circuit
classiq-library/applications/chemistry/molecular_energy_curve/molecular_energy_curve.py;Initialization
classiq-library/applications/chemistry/second_quantized_hamiltonian/second_quantized_hamiltonian.py;Variational Quantum Algorithm (VQA)
classiq-library/applications/chemistry/qpe_for_molecules/qpe_for_molecules.py;Hamiltonian Simulation -> Initialization -> Quantum Phase Estimation (QPE)
classiq-library/applications/cfd/qlbm/qlbm.py;Grover
classiq-library/applications/cfd/double_slit_experiment/quantum_double_slit_experiment.py;Domain Specific Application
classiq-library/applications/cfd/qls_for_hybrid_solvers/verify_block_encoding.py;Domain Specific Application
classiq-library/applications/cfd/qls_for_hybrid_solvers/qls_qsvt.py;Domain Specific Application
classiq-library/applications/cfd/heat_eq_qsvt/heat_eq_qsvt.py;Data Encoding -> Domain Specific Application -> Phase Shift
classiq-library/applications/automotive/cooling_systems_optimization/cooling_systems_optimization.py;Quantum Approximate Optimization Algorithm (QAOA) -> Amplitude Amplification -> Linear Combination of Unitaries -> Initialization -> Domain Specific Application -> Basis Change -> Quantum Amplitude Estimation
classiq-library/applications/finance/brownian_chebyshev_polynomials/brownian_chebyshev_polynomials.py;Basis Change
classiq-library/applications/finance/autocallable_options/partial_exponential_state_preparation.py;Oracle -> Amplitude Amplification -> Initialization
classiq-library/applications/finance/autocallable_options/quantum_autocallable_option_pricing.py;Initialization
classiq-library/applications/finance/portfolio_optimization_hhl/HHL_portfolio.py;Quantum Phase Estimation (QPE)
classiq-library/applications/finance/hybrid_hhl_for_portfolio_optimization/portfolio_optimization_with_hhl.py;SWAP Test -> Quantum Phase Estimation (QPE)
classiq-library/applications/finance/credit_card_fraud/credit_card_fraud.py;Basis Change
classiq-library/applications/finance/option_pricing/option_pricing.py;Domain Specific Application
classiq-library/applications/finance/rainbow_options/rainbow_options_integration_method.py;Initialization
classiq-library/applications/finance/rainbow_options/rainbow_options_direct_method.py;Circuit Construction Utility
classiq-library/applications/logistics/vehicle_routing_problem/vehicle_routing_problem.py;Circuit Construction Utility -> Basis Change
classiq-library/tutorials/technology_demonstrations/hhl/hhl_example.py;Quantum Phase Estimation (QPE)
classiq-library/tutorials/technology_demonstrations/oracle_generation/3sat_oracles.py;Oracle -> Circuit Construction Utility
classiq-library/tutorials/technology_demonstrations/hamiltonian_evolution/hamiltonian_evolution.py;Hamiltonian Simulation
classiq-library/tutorials/technology_demonstrations/classiq_paper/qsvt/classiq_qsvt.py;Amplitude Amplification -> Phase Shift -> Basis Change -> Domain Specific Application
classiq-library/tutorials/technology_demonstrations/classiq_paper/qsvt/qiskit_qsvt.py;Domain Specific Application
classiq-library/tutorials/technology_demonstrations/qpe/qpe_for_grover_operator/qpe_for_grover_operator.py;Basis Change -> Quantum Phase Estimation (QPE)
classiq-library/tutorials/technology_demonstrations/qpe/qpe_for_unitary_matrix/qpe_for_unitary_matrix.py;Quantum Phase Estimation (QPE) -> Domain Specific Application
classiq-library/tutorials/workshops/oracle_workshop/oracles_workshop.py;Oracle -> Basis Change -> Grover
classiq-library/tutorials/workshops/finance_workshops/combi_workshop_Inequality_constriants_PO.py;Circuit Construction Utility -> Basis Change
classiq-library/tutorials/workshops/finance_workshops/combi_workshop_equality_constriants_PO.py;Circuit Construction Utility -> Basis Change
classiq-library/tutorials/workshops/algo_design_QCE_tutorial/algo_design_QCE_tutorial_part_I.py;Oracle -> Basis Change -> Creating Entanglement -> Amplitude Amplification
classiq-library/tutorials/workshops/algo_design_QCE_tutorial/algo_design_QCE_tutorial_part_II.py;Circuit Construction Utility
classiq-library/tutorials/workshops/grover_workshop/grover_workshop.py;Circuit Construction Utility -> Amplitude Amplification
classiq-library/tutorials/workshops/combinatorial_workshop/combinatorial_qmod_workshop_for_maxcut.py;Circuit Construction Utility -> Basis Change
classiq-library/tutorials/workshops/hhl_workshop/hhl_workshop.py;Quantum Phase Estimation (QPE)
classiq-library/tutorials/advanced_tutorials/discrete_quantum_walk_2d/discrete_time_quantum_walk.py;Amplitude Amplification -> Basis Change
classiq-library/tutorials/advanced_tutorials/high_level_modeling_flexible_qpe/high_level_modeling_flexible_qpe.py;Hamiltonian Simulation -> Quantum Phase Estimation (QPE) -> Circuit Construction Utility -> Basis Change -> SWAP Test
classiq-library/tutorials/advanced_tutorials/discrete_quantum_walk/discrete_quantum_walk.py;Amplitude Amplification -> Initialization
classiq-library/tutorials/basic_tutorials/grover_graph_coloring/grover_graph_coloring.py;Oracle -> Grover
classiq-library/tutorials/basic_tutorials/the_classiq_tutorial/execution_tutorial.py;Basis Change
classiq-library/tutorials/basic_tutorials/the_classiq_tutorial/Qmod_tutorial_part1.py;Basis Change
classiq-library/tutorials/basic_tutorials/the_classiq_tutorial/synthesis_tutorial.py;Basis Change
classiq-library/tutorials/basic_tutorials/the_classiq_tutorial/classiq_overview_tutorial.py;Basis Change
classiq-library/tutorials/basic_tutorials/the_classiq_tutorial/Qmod_tutorial_part2.py;Hamiltonian Simulation -> Basis Change
classiq-library/tutorials/basic_tutorials/quantumwalk_complex_network/quantumwalk_complex_network.py;Amplitude Amplification -> Circuit Construction Utility -> Basis Change
classiq-library/tutorials/basic_tutorials/exponentiation/example_exponentiation.py;Hamiltonian Simulation
classiq-library/tutorials/basic_tutorials/quantum_primitives/linear_combination_of_unitaries/linear_combination_of_unitaries.py;Basis Change -> Circuit Construction Utility -> Dynamic Circuit -> Linear Combination of Unitaries
classiq-library/tutorials/basic_tutorials/quantum_primitives/hadamard_test_tutorial/hadamard_test_tutorial.py;Basis Change
classiq-library/algorithms/quantum_phase_estimation/qpe_for_matrix/qpe_for_matrix.py;Hamiltonian Simulation -> Quantum Phase Estimation (QPE) -> Domain Specific Application
classiq-library/algorithms/quantum_phase_estimation/qpe_with_qubitization/qpe_for_molecule_with_qubitization.py;Initialization -> Basis Change -> Quantum Phase Estimation (QPE) -> Domain Specific Application
classiq-library/algorithms/quantum_state_preparation/adapt_vqe/adapt_vqe.py;Hamiltonian Simulation
classiq-library/algorithms/quantum_state_preparation/gibbs/quantum_thermal_state_preparation.py;Hamiltonian Simulation -> Circuit Construction Utility -> Basis Change -> Initialization
classiq-library/algorithms/quantum_differential_equations_solvers/discrete_poisson_solver/discrete_poisson_solver.py;Hamiltonian Simulation -> Basis Change -> Quantum Phase Estimation (QPE)
classiq-library/algorithms/quantum_differential_equations_solvers/time_marching/time_marching.py;Basis Change -> Domain Specific Application -> Data Encoding
classiq-library/algorithms/number_theory_and_cryptography/discrete_log/discrete_log.py;Basis Change
classiq-library/algorithms/number_theory_and_cryptography/shor/shor.py;Quantum Phase Estimation (QPE)
